revision,Meta Class,Meta Concept,Meta Description,envisionName,nwName,format,flags,nullTokens,failureKey,failureMapping,ecsName,Proposed,nbOccurrences,shortMeta,name_noDot, old ecsType,extra ecs
1,Reserved,Message,This key is used to capture the raw message that comes into the Log Decoder,msg,msg,Text,Transient,,,,rsa.internal.msg,log.original,272,internal,msg,text
1,,,,messageid,,,,,,,rsa.internal.messageid,event.code,270,internal,messageid,keyword
1,Time,Event Time,This key is used to capture the time mentioned in a raw session that represents the actual time an event occured in a standard normalized form,event_time,event.time,TimeT,None,,,,rsa.time.event_time,@timestamp,253,time,event_time,keyword
1,Identity,Destination User Account,This key should only be used to capture the Primary/Destination User in the event,username,user.dst,Text,None,none|-,,,related.user,user.name,248,identity,user_dst,keyword
1,,,,event_description,event.desc,Text,None,,,,rsa.internal.event_desc,message,223,internal,event_desc,keyword
1,,,,action,action,Text,None,,,,rsa.misc.action,event.action,217,misc,action,keyword
1,Database,Index ID,This key captures IndexID of the index.,info,index,Text,Transient,,,,rsa.db.index,,214,db,index,keyword
1,Network,Source IP Address,This key should only be used when it’s a Source IP Address.,saddr,ip.src,IPv4,None,(null)|-,ipv6.src,saddr_v6,source.ip,,209,network,ip_src,ip
1,Miscellaneous,Message,This key captures the contents of instant messages,message,message,Text,Transient,,,,rsa.internal.message,,193,internal,message,keyword
1,Network,Hostname Aliases,This key should be used when the source or destination context of a hostname is not clear.Also it captures the Device Hostname. Any Hostname that isnt ad.computer.,hostname,alias.host,Text,None,,,,rsa.network.alias_host,host.name,192,network,alias_host,keyword
1,Investigations,Event Activity,This key captures the particular event activity(Ex:Logoff),ec_activity,ec.activity,Text,None,,,,rsa.investigations.ec_activity,,183,investigations,ec_activity,keyword
1,Investigations,Event Theme,This key captures the Theme of a particular Event(Ex:Authentication),ec_theme,ec.theme,Text,None,,,,rsa.investigations.ec_theme,,181,investigations,ec_theme,keyword
1,Investigations,Event Subject,This key captures the Subject of a particular Event(Ex:User),ec_subject,ec.subject,Text,None,,,,rsa.investigations.ec_subject,,179,investigations,ec_subject,keyword
1,Miscellaneous,Result,This key is used to capture the outcome/result string value of an action in a session.,result,result,Text,None,,,,rsa.misc.result,,179,misc,result,keyword
1,Miscellaneous,Severity,This key is used to capture the severity given the session,severity,severity,Text,Transient,,,,rsa.misc.severity,log.level,167,misc,severity,keyword
1,Investigations,Event Outcome,This key captures the outcome of a particular Event(Ex:Success),ec_outcome,ec.outcome,Text,None,,,,rsa.investigations.ec_outcome,event.outcome,153,investigations,ec_outcome,keyword
1,Network,Destination IP address,This key should only be used when it’s a Destination IP Address.,daddr,ip.dst,IPv4,None,(null)|-,ipv6.dst,daddr_v6,destination.ip,,152,network,ip_dst,ip
1,Miscellaneous,Event Type,This key captures the event category type as specified by the event source.,event_type,event.type,Text,None,,,,rsa.misc.event_type,event.action,149,misc,event_type,keyword
1,Miscellaneous,Reference ID,This key is used to capture an event id from the session directly,id,reference.id,Text,None,,,,rsa.misc.reference_id,event.code,138,misc,reference_id,keyword
1,Network,Protocol,This key should be used to capture the protocol name,protocol,protocol,Text,Transient,,,,network.protocol,,133,network,protocol,keyword
1,Miscellaneous,Versions,This key captures Version of the application or OS which is generating the event.,version,version,Text,None,,,,observer.version,rsa.misc.version,133,misc,version,keyword
1,File,Filename,This key is used to capture the complete filename/Webpage with extension where the directionality is not clear. This should not include the directory/path,filename,filename,Text,File,N/A,,,file.name,,128,file,filename,keyword
1,,IP Address,"Deprecated, use alias.ip",hostip,ip.addr,IPv4,None,(null)|-,ipv6.addr,hostip_v6,host.ip,,128,network,ip_addr,ip
1,,IP Source Port,"Deprecated, use port.src",sport,ip.srcport,UInt16,Transient,-|(null)|N/A,,,source.port,,123,network,ip_srcport,long
1,,Destination Port,"Deprecated, use port.dst",dport,ip.dstport,UInt16,None,-|(null)|null|N/A,,,destination.port,,115,network,ip_dstport,long
1,Miscellaneous,Disposition,This key captures the The end state of an action.,disposition,disposition,Text,Transient,,,,rsa.misc.disposition,,113,misc,disposition,keyword
1,Miscellaneous,Result Code,This key is used to capture the outcome/result numeric value of an action in a session,resultcode,result.code,Text,None,,,,rsa.misc.result_code,,112,misc,result_code,keyword
1,Miscellaneous,Category,This key is used to capture the category of an event given by the vendor in the session,category,category,Text,None,,,,rsa.misc.category,,105,misc,category,keyword
1,Miscellaneous,Object Name,This is used to capture name of object,obj_name,obj.name,Text,None,,,,rsa.misc.obj_name,,102,misc,obj_name,keyword
1,Network,Source Hostname,This key should only be used when it’s a Source Hostname.,shost,host.src,Text,None,,,,host.hostname,source.address,99,network,host_src,keyword,related.hosts
1,Miscellaneous,Object Type,This is used to capture type of object,obj_type,obj.type,Text,None,,,,rsa.misc.obj_type,,96,misc,obj_type,keyword
1,Web,URL,This key is used for capturing complete url,url,url,Text,Transient,,,,url.original,,93,web,url,keyword
1,Miscellaneous,Server Application,This key is used to capture the name of the server application only,application,server,Text,Transient,,,,network.application,,91,misc,server,keyword
1,Miscellaneous,Event Source,This key captures Source of the event that’s not a hostname,event_source,event.source,Text,None,,,,rsa.misc.event_source,related.hosts,90,misc,event_source,keyword
1,Network,Service Name,"This is used to capture descriptive service name, typically seen in Windows",service,service.name,Text,None,,,,service.name,,88,network,service_name,keyword
1,,,,domain,domain,Text,None,,,,server.domain,rsa.network.domain,84,network,domain,keyword,related.hosts
1,Miscellaneous,Event Session ID,This key is used to capture a sessionid from the session directly,sessionid,log.session.id,Text,Transient,,,,rsa.misc.log_session_id,,82,misc,log_session_id,keyword
1,Miscellaneous,Group Name,This key captures the Group Name value,group,group,Text,None,,,,rsa.misc.group,group.name,81,misc,group,keyword
1,Network,Destination Hostname,This key should only be used when it’s a Destination Hostname,dhost,host.dst,Text,None,,,,rsa.network.host_dst,destination.address,81,network,host_dst,keyword,related.hosts
1,Counters,Device class Counter 1,This is a generic counter key that should be used with the label dclass.c1.str only,dclass_counter1,dclass.c1,Int32,Transient,,,,rsa.counters.dclass_c1,,80,counters,dclass_c1,integer
1,Miscellaneous,Policy Name,This key is used to capture the Policy Name only.,policyname,policy.name,Text,None,,,,rsa.misc.policy_name,,80,misc,policy_name,keyword
1,Identity,Source User Account,This key should only be used to capture the Secondary/Source User in the event,c_username,user.src,Text,None,none|-,,,related.user,user.name,77,identity,user_src,keyword
1,Miscellaneous,Process ID,"This key is used to capture the Process ID, in case of parent child relationship, this can be used for child process id context.",process_id,process.id,Int64,Transient,(null)|-,process.id.val,process_id_val,process.pid,,75,misc,process_id,long
1,,,,process,process,Text,None,,,,process.name,,74,misc,process,keyword
1,Miscellaneous,Rule Name,This key captures the Rule Name,rulename,rule.name,Text,Transient,,,,rsa.misc.rule_name,rule.name,72,misc,rule_name,keyword
1,Miscellaneous,Context,This key captures Information which adds additional context to the event.,context,context,Text,None,,,,rsa.misc.context,,70,misc,context,keyword
1,Miscellaneous,Change New,This key is used to capture the new values of the attribute that’s changing in a session,change_new,change.new,Text,Transient,,,,rsa.misc.change_new,,69,misc,change_new,keyword
1,Miscellaneous,Product Name,This key is used to capture the name of the product.,product,product,Text,Transient,,,,observer.product,,69,misc,product,keyword
1,,,,space,,,,,,,rsa.misc.space,,68,misc,space,keyword
1,Miscellaneous,Client Application,This key is used to capture only the name of the client application requesting resources of the server. See the user.agent meta key for capture of the specific user agent identifier or browser identification string.,agent,client,Text,None,,,,rsa.misc.client,,67,misc,client,keyword
1,Time,Duration in seconds,This key is used to capture the normalized duration/lifetime in seconds.,duration,duration.time,Float64,None,,duration.str,duration_string,rsa.time.duration_time,,63,time,duration_time,double
1,,,,msgIdPart1,,,,,,,rsa.misc.msgIdPart1,,63,misc,msgIdPart1,keyword
1,Network,Network Service Name,This is used to capture layer 7 protocols/service names,network_service,network.service,Text,Transient,,,,rsa.network.network_service,,62,network,network_service,keyword
1,File,Directory,This key is used to capture the file directory or path only,directory,directory,Text,None,,,,file.directory,,60,file,directory,keyword
1,Network,Interface Generic,This key should be used when the source or destination context of an interface is not clear,interface,interface,Text,Transient,,,,rsa.network.interface,network.interface.name,60,network,interface,keyword
1,,,,msgIdPart2,,,,,,,rsa.misc.msgIdPart2,,60,misc,msgIdPart2,keyword
1,Miscellaneous,Change Old,This key is used to capture the old value of the attribute that’s changing in a session,change_old,change.old,Text,Transient,,,,rsa.misc.change_old,,59,misc,change_old,keyword
1,Time,Event Time String,This key is used to capture the incomplete time mentioned in a session as a string,event_time_string,event.time.str,Text,Transient,,,,rsa.time.event_time_str,,58,time,event_time_str,keyword
1,Reserved,Time,"This is the time at which a session hits a NetWitness Decoder. This key should never be used to parse Meta data from a session (Logs/Packets) Directly, this is a Reserved key in NetWitness.",time,time,TimeT,Transient,,,,rsa.internal.time,,58,internal,time,keyword
1,Network,Bytes Total,"This key is the total number of Bytes sent/received in a session. Also, in cases where the Sent or Received context is not clear, this can be used.",bytes,bytes,UInt64,None,(null)|-,,,network.bytes,,56,network,bytes,long
1,Network,Ethernet Source,This key should only be used when it’s a Source Mac Address.,smacaddr,eth.src,MAC,None,Unknown|Irresolvable,,,source.mac,,56,network,eth_src,keyword
1,Miscellaneous,Operation Number,An alert number or operation number. The values should be unique and non-repeating.,operation_id,operation.id,Text,Transient,,,,rsa.misc.operation_id,,56,misc,operation_id,keyword
